# Z    rho_SFRD  rho_SFRD+err  rho_SFRD-err

## Bouwens22b############

7.68   -2.82   -2.71   -2.93
10.0   -3.46   -3.33   -3.59
12.9   -3.76   -3.54   -4.03
17.6   -3.76   -3.32   -4.45

#### Donnan22 ########

7.97   -3.00   -2.95   -3.05
8.98   -3.26   -3.17   -3.36
10.48  -3.72   -3.58   -3.96
13.24  -4.25   -4.11   -4.49

###### Harikane22 #######

9.20   -3.44   -3.28   -3.57  
12.0   -4.03   -3.77   -4.28  
#16.6   -4.33   -4.03   -4.89 

####### Bouwens22a ######

8.70   -3.17   -2.94   -3.40
12.6   -3.47   -3.11   -3.93

######## Finkelstein #####

10.98  -3.31   -3.20   -3.41

#Bouwens21###########

5.86   -2.01   -2.01   -2.01
6.76   -2.41   -2.41   -2.41
7.78   -2.81   -2.76   -2.87
8.88   -3.41   -3.32   -3.51
10.38  -4.05   -3.69   -4.48  

#Bouwens12a,b##### Taken from Madau & dickinson

3.8    -1.29   -1.24   -1.34
4.9    -1.42   -1.36   -1.48
5.9    -1.65   -1.57   -1.73
7.0    -1.79   -1.69   -1.89
7.9    -2.09   -1.98   -2.20

####### Robust Literature #######
10     -3.77   -3.63   -3.91   
12.9   -4.11   -3.91   -4.30 

####### Solid Literature #######

10     -3.32   -3.24   -3.40  
12.9   -3.26   -3.15   -3.35  
17.6   -3.47   -3.33   -3.61

###### Possible Literature##############

10     -2.89   -2.83   -2.95  
12.9   -2.80   -2.74   -2.86
17.6   -3.08   -2.99   -3.17



