# redshift T_b[mK]
2.500000000000000000e+01 -1.643745325109168220e+01
2.498098098098098063e+01 -2.301053606514198435e+01
2.496196196196196126e+01 -1.537736235434575072e+01
2.494294294294294190e+01 -6.854156060932062644e+00
2.492392392392392253e+01 -2.465873092844865866e+01
2.490490490490490316e+01 -2.489501323891409612e+01
2.488588588588588735e+01 -7.001119827600728485e+00
2.486686686686686798e+01 -1.536213414891476603e+01
2.484784784784784861e+01 -2.797714330924028303e+01
2.482882882882882924e+01 -1.810635941098907509e+01
2.480980980980980988e+01 -2.841959947340766490e+01
2.479079079079079051e+01 -2.869960387095043686e+01
2.477177177177177114e+01 -2.188299695986021121e+01
2.475275275275275177e+01 -4.369923686388297313e+01
2.473373373373373241e+01 -4.208359937290840946e+01
2.471471471471471304e+01 -3.072812190930914866e+01
2.469569569569569722e+01 -3.550845208186726865e+01
2.467667667667667786e+01 -2.251586660151603780e+01
2.465765765765765849e+01 -3.502119610733522137e+01
2.463863863863863912e+01 -4.034948013791633059e+01
2.461961961961961975e+01 -1.185965202577488320e+01
2.460060060060060039e+01 -2.906723066141804779e+01
2.458158158158158102e+01 -2.643180811314363510e+01
2.456256256256256165e+01 -4.165545338966313693e+01
2.454354354354354228e+01 -3.315683604487650626e+01
2.452452452452452292e+01 -2.691313813292048707e+01
2.450550550550550710e+01 -3.984473224135847147e+01
2.448648648648648773e+01 -2.489466289368884944e+01
2.446746746746746837e+01 -3.497798737616640352e+01
2.444844844844844900e+01 -3.221390397110171477e+01
2.442942942942942963e+01 -3.564209877891023126e+01
2.441041041041041026e+01 -1.143529860539705112e+01
2.439139139139139090e+01 -3.042935114991312417e+01
2.437237237237237153e+01 -4.121270842069863249e+01
2.435335335335335216e+01 -2.275480531221120728e+01
2.433433433433433279e+01 -4.353778604419828469e+01
2.431531531531531698e+01 -2.959395321431593118e+01
2.429629629629629761e+01 -5.163662138309400973e+01
2.427727727727727824e+01 -4.568305202229563378e+01
2.425825825825825888e+01 -3.079807439114203405e+01
2.423923923923923951e+01 -2.575192191186992829e+01
2.422022022022022014e+01 -3.179701213690398376e+01
2.420120120120120077e+01 -3.504537522028224572e+01
2.418218218218218141e+01 -3.728239979856912356e+01
2.416316316316316204e+01 -4.944378714977261779e+01
2.414414414414414267e+01 -4.224769400967273469e+01
2.412512512512512330e+01 -4.005103284314426304e+01
2.410610610610610749e+01 -2.527252299579712158e+01
2.408708708708708812e+01 -3.281194377352060343e+01
2.406806806806806875e+01 -5.428608215434894646e+01
2.404904904904904939e+01 -3.382719754466770468e+01
2.403003003003003002e+01 -4.133552904346826296e+01
2.401101101101101065e+01 -4.467515804372347787e+01
2.399199199199199128e+01 -3.221441036564971938e+01
2.397297297297297192e+01 -2.845082339276289929e+01
2.395395395395395255e+01 -2.988241881995549676e+01
2.393493493493493673e+01 -4.802532261942367597e+01
2.391591591591591737e+01 -4.316795126340849720e+01
2.389689689689689800e+01 -3.720971315294700332e+01
2.387787787787787863e+01 -3.121847857264820902e+01
2.385885885885885926e+01 -4.622073002745785431e+01
2.383983983983983990e+01 -4.374539935133228141e+01
2.382082082082082053e+01 -5.341593957309661533e+01
2.380180180180180116e+01 -5.478329914337264483e+01
2.378278278278278179e+01 -3.516815265109225663e+01
2.376376376376376243e+01 -3.020745593754393354e+01
2.374474474474474306e+01 -4.497054453440386368e+01
2.372572572572572724e+01 -3.470002413420816367e+01
2.370670670670670788e+01 -4.160782042109812551e+01
2.368768768768768851e+01 -5.216828649602300771e+01
2.366866866866866914e+01 -4.260078439102390035e+01
2.364964964964964977e+01 -3.133566709259653038e+01
2.363063063063063041e+01 -4.758004830548303943e+01
2.361161161161161104e+01 -3.208476090042294260e+01
2.359259259259259167e+01 -7.444276783583165980e+01
2.357357357357357230e+01 -4.054374684150824493e+01
2.355455455455455294e+01 -4.841406348150167815e+01
2.353553553553553712e+01 -5.280001078470761655e+01
2.351651651651651775e+01 -4.942197277245151810e+01
2.349749749749749839e+01 -7.074826401724149605e+01
2.347847847847847902e+01 -5.360631064320456574e+01
2.345945945945945965e+01 -4.837909668577837863e+01
2.344044044044044028e+01 -3.771585160396206504e+01
2.342142142142142092e+01 -5.822537834563941317e+01
2.340240240240240155e+01 -6.167924897739139567e+01
2.338338338338338218e+01 -5.916739872006504442e+01
2.336436436436436281e+01 -4.555404558038561902e+01
2.334534534534534345e+01 -5.198257886184200771e+01
2.332632632632632763e+01 -6.113241941615545727e+01
2.330730730730730826e+01 -5.127107176590705251e+01
2.328828828828828890e+01 -5.600406306081013952e+01
2.326926926926926953e+01 -4.786310995947076208e+01
2.325025025025025016e+01 -6.514761881119298437e+01
2.323123123123123079e+01 -6.198457868938911020e+01
2.321221221221221143e+01 -6.321238931458125876e+01
2.319319319319319206e+01 -7.451282754166581412e+01
2.317417417417417269e+01 -5.750558375870879502e+01
2.315515515515515688e+01 -5.844777315812569185e+01
2.313613613613613751e+01 -6.160124954104475847e+01
2.311711711711711814e+01 -6.459459973659778598e+01
2.309809809809809877e+01 -7.700141526583776397e+01
2.307907907907907941e+01 -6.765501783526993052e+01
2.306006006006006004e+01 -6.747894122533298855e+01
2.304104104104104067e+01 -7.267954230253342018e+01
2.302202202202202130e+01 -6.687704855071059740e+01
2.300300300300300194e+01 -6.183241461697286923e+01
2.298398398398398257e+01 -4.762186478600060013e+01
2.296496496496496320e+01 -6.534995877487993710e+01
2.294594594594594383e+01 -6.513422744816226384e+01
2.292692692692692802e+01 -6.906897482982108727e+01
2.290790790790790865e+01 -8.812846733570722790e+01
2.288888888888888928e+01 -6.982333047267957227e+01
2.286986986986986992e+01 -6.957430612362158229e+01
2.285085085085085055e+01 -4.616349691131544120e+01
2.283183183183183118e+01 -7.333947036140237685e+01
2.281281281281281181e+01 -6.902140536665190496e+01
2.279379379379379245e+01 -7.300502375379666375e+01
2.277477477477477308e+01 -8.496639179916432738e+01
2.275575575575575726e+01 -6.247302129746721988e+01
2.273673673673673790e+01 -6.700398275378977075e+01
2.271771771771771853e+01 -6.723461268604650343e+01
2.269869869869869916e+01 -8.486016894320414394e+01
2.267967967967967979e+01 -6.235784531276736686e+01
2.266066066066066043e+01 -9.102381339705671337e+01
2.264164164164164106e+01 -7.175546310229383096e+01
2.262262262262262169e+01 -5.633780204264232339e+01
2.260360360360360232e+01 -8.876525867111691070e+01
2.258458458458458296e+01 -8.513941586308308729e+01
2.256556556556556359e+01 -7.909528445182792211e+01
2.254654654654654777e+01 -8.574029566655664780e+01
2.252752752752752841e+01 -9.682493971678526634e+01
2.250850850850850904e+01 -8.124306921447616503e+01
2.248948948948948967e+01 -9.316064189923453398e+01
2.247047047047047030e+01 -7.840826253415977476e+01
2.245145145145145094e+01 -9.294311909085702439e+01
2.243243243243243157e+01 -6.885145596333711637e+01
2.241341341341341220e+01 -9.278286683999795059e+01
2.239439439439439283e+01 -8.876758549790778829e+01
2.237537537537537702e+01 -7.800552517830381305e+01
2.235635635635635765e+01 -9.903965644275065472e+01
2.233733733733733828e+01 -8.504337497538435287e+01
2.231831831831831892e+01 -7.482985699778784294e+01
2.229929929929929955e+01 -1.045556196711382597e+02
2.228028028028028018e+01 -8.720992117868975413e+01
2.226126126126126081e+01 -8.702863696525314197e+01
2.224224224224224145e+01 -8.237632834428600859e+01
2.222322322322322208e+01 -1.031262009971281230e+02
2.220420420420420271e+01 -1.045188963202847958e+02
2.218518518518518334e+01 -8.664727229458343061e+01
2.216616616616616398e+01 -8.944435649147030176e+01
2.214714714714714816e+01 -9.045093783164151091e+01
2.212812812812812879e+01 -9.002764502200116681e+01
2.210910910910910943e+01 -1.008226991843314124e+02
2.209009009009009006e+01 -9.222384157190603560e+01
2.207107107107107069e+01 -9.213296381268595781e+01
2.205205205205205132e+01 -1.027181223123311469e+02
2.203303303303303196e+01 -7.742120001403573326e+01
2.201401401401401259e+01 -9.183819707871620608e+01
2.199499499499499322e+01 -1.089801834481642544e+02
2.197597597597597741e+01 -9.098502678462638471e+01
2.195695695695695804e+01 -1.077733635685995353e+02
2.193793793793793867e+01 -9.062407747788606116e+01
2.191891891891891930e+01 -8.736958305591127782e+01
2.189989989989989994e+01 -1.076150078998569910e+02
2.188088088088088057e+01 -9.021891421714676085e+01
2.186186186186186120e+01 -9.616106990364554008e+01
2.184284284284284183e+01 -9.249600956776690452e+01
2.182382382382382247e+01 -8.216776206594757070e+01
2.180480480480480310e+01 -1.039998432840288416e+02
2.178578578578578373e+01 -1.094845826090661234e+02
2.176676676676676792e+01 -1.112343940512681968e+02
2.174774774774774855e+01 -1.108799737444009850e+02
2.172872872872872918e+01 -1.038659567942946893e+02
2.170970970970970981e+01 -1.000467980488999018e+02
2.169069069069069045e+01 -1.010449316661122765e+02
2.167167167167167108e+01 -9.588352399213626143e+01
2.165265265265265171e+01 -1.043587388676753420e+02
2.163363363363363234e+01 -9.027654874053419576e+01
2.161461461461461298e+01 -1.077705312848304118e+02
2.159559559559559716e+01 -7.821982892176971802e+01
2.157657657657657779e+01 -9.945219486860374047e+01
2.155755755755755843e+01 -1.145573886318055088e+02
2.153853853853853906e+01 -1.169610666510834847e+02
2.151951951951951969e+01 -1.016829453720343110e+02
2.150050050050050032e+01 -1.089868675287412998e+02
2.148148148148148096e+01 -9.984566481732355214e+01
2.146246246246246159e+01 -1.024753947693049980e+02
2.144344344344344222e+01 -1.081466860271009125e+02
2.142442442442442285e+01 -1.160853168260339459e+02
2.140540540540540349e+01 -1.229530305734703148e+02
2.138638638638638412e+01 -1.124448797144230241e+02
2.136736736736736830e+01 -9.957871141075663957e+01
2.134834834834834894e+01 -1.061523969666236127e+02
2.132932932932932957e+01 -1.208888676354745115e+02
2.131031031031031020e+01 -1.068251819877992546e+02
2.129129129129129083e+01 -1.048166064244726243e+02
2.127227227227227146e+01 -1.176082848148713111e+02
2.125325325325325210e+01 -1.073194141765768705e+02
2.123423423423423273e+01 -1.083484588619356117e+02
2.121521521521521336e+01 -1.204209466716750967e+02
2.119619619619619755e+01 -1.054607910638983128e+02
2.117717717717717818e+01 -1.034647907707454237e+02
2.115815815815815881e+01 -9.826255507181704729e+01
2.113913913913913944e+01 -9.856188707113216196e+01
2.112012012012012008e+01 -1.228697569465553556e+02
2.110110110110110071e+01 -1.184507195642484305e+02
2.108208208208208134e+01 -1.038877500844542681e+02
2.106306306306306197e+01 -1.038520480863327435e+02
2.104404404404404261e+01 -1.037773603581321140e+02
2.102502502502502324e+01 -7.032454780336064459e+01
2.100600600600600387e+01 -1.030530580559004363e+02
2.098698698698698450e+01 -9.730242925703345236e+01
2.096796796796796869e+01 -9.900014148329563568e+01
