#f_esc data mstly taken from U. Mestric et al.(2021)
# Mitra 15
#mean_z  upper_z   lower_z    f_esc      lowErr       upper_Err 

#6         6.0        6.0     0.0927     0.0255         0.1702

#7         7.0        7.0     0.0998     0.0393         0.2093

#8         8.0        8.0     0.0998     0.0403         0.2139

#9         9.0        9.0     0.0979     0.0324         0.2203

#10        10.0       10.0    0.0976     0.0272         0.2359

#Price16  (Planck 2016 lowE)
6         6.0        6.0     0.11       0.07           0.07

9         9.0        9.0     0.14       0.09           0.09

#12        12.0       12.0    0.62       0.23           0.23





